,1 Bedroom,,,2 Bedroom,,,3 Bedroom
Apr-2016,"$1,053",,Apr-2016,"$1,342",,Apr-2016,"$1,641"
May-2016,"$1,012",,May-2016,"$1,299",,May-2016,"$1,545"
Jun-2016,"$1,043",,Jun-2016,"$1,286",,Jun-2016,"$1,575"
Jul-2016,"$1,041",,Jul-2016,"$1,291",,Jul-2016,"$1,565"
Aug-2016,"$1,036",,Aug-2016,"$1,299",,Aug-2016,"$1,583"
Sep-2016,"$1,034",,Sep-2016,"$1,300",,Sep-2016,"$1,550"
Oct-2016,"$1,032",,Oct-2016,"$1,297",,Oct-2016,"$1,530"
Nov-2016,"$1,012",,Nov-2016,"$1,297",,Nov-2016,"$1,528"
Dec-2016,"$1,037",,Dec-2016,"$1,299",,Dec-2016,"$1,527"
Jan-2017,"$1,077",,Jan-2017,"$1,306",,Jan-2017,"$1,552"
Feb-2017,"$1,062",,Feb-2017,"$1,310",,Feb-2017,"$1,567"
Mar-2017,"$1,052",,Mar-2017,"$1,299",,Mar-2017,"$1,568"
Apr-2017,"$1,064",,Apr-2017,"$1,315",,Apr-2017,"$1,550"
May-2017,"$1,081",,May-2017,"$1,306",,May-2017,"$1,567"
Jun-2017,"$1,087",,Jun-2017,"$1,300",,Jun-2017,"$1,581"
Jul-2017,"$1,086",,Jul-2017,"$1,305",,Jul-2017,"$1,604"
Aug-2017,"$1,087",,Aug-2017,"$1,336",,Aug-2017,"$1,628"
Sep-2017,"$1,084",,Sep-2017,"$1,350",,Sep-2017,"$1,678"
Oct-2017,"$1,058",,Oct-2017,"$1,360",,Oct-2017,"$1,698"
Nov-2017,"$1,065",,Nov-2017,"$1,350",,Nov-2017,"$1,637"
Dec-2017,"$1,117",,Dec-2017,"$1,344",,Dec-2017,"$1,599"
Jan-2018,"$1,096",,Jan-2018,"$1,350",,Jan-2018,"$1,617"
Feb-2018,"$1,107",,Feb-2018,"$1,361",,Feb-2018,"$1,645"
Mar-2018,"$1,196",,Mar-2018,"$1,417",,Mar-2018,"$1,650"
Apr-2018,"$1,235",,Apr-2018,"$1,447",,Apr-2018,"$1,681"
May-2018,"$1,178",,May-2018,"$1,482",,May-2018,"$1,731"
Jun-2018,"$1,277",,Jun-2018,"$1,562",,Jun-2018,"$1,785"
Jul-2018,"$1,354",,Jul-2018,"$1,574",,Jul-2018,"$1,800"
Aug-2018,"$1,314",,Aug-2018,"$1,599",,Aug-2018,"$1,817"
Sep-2018,"$1,354",,Sep-2018,"$1,609",,Sep-2018,"$1,868"
Oct-2018,"$1,406",,Oct-2018,"$1,646",,Oct-2018,"$1,856"
Nov-2018,"$1,421",,Nov-2018,"$1,630",,Nov-2018,"$1,856"
Dec-2018,"$1,416",,Dec-2018,"$1,630",,Dec-2018,"$1,850"
Jan-2019,"$1,418",,Jan-2019,"$1,677",,Jan-2019,"$1,887"
Feb-2019,"$1,433",,Feb-2019,"$1,681",,Feb-2019,"$1,940"
Mar-2019,"$1,460",,Mar-2019,"$1,689",,Mar-2019,"$1,926"
Apr-2019,"$1,459",,Apr-2019,"$1,717",,Apr-2019,"$1,912"
May-2019,"$1,449",,May-2019,"$1,693",,May-2019,"$1,937"
Jun-2019,"$1,486",,Jun-2019,"$1,670",,Jun-2019,"$2,000"
Jul-2019,"$1,499",,Jul-2019,"$1,688",,Jul-2019,"$2,000"
Aug-2019,"$1,495",,Aug-2019,"$1,737",,Aug-2019,"$2,049"
Sep-2019,"$1,472",,Sep-2019,"$1,771",,Sep-2019,"$2,087"
Oct-2019,"$1,470",,Oct-2019,"$1,752",,Oct-2019,"$2,020"
Nov-2019,"$1,510",,Nov-2019,"$1,799",,Nov-2019,"$1,996"
Dec-2019,"$1,473",,Dec-2019,"$1,794",,Dec-2019,"$2,000"
Jan-2020,"$1,499",,Jan-2020,"$1,779",,Jan-2020,"$1,996"
Feb-2020,"$1,512",,Feb-2020,"$1,796",,Feb-2020,"$1,998"
Mar-2020,"$1,548",,Mar-2020,"$1,811",,Mar-2020,"$2,036"
Apr-2020,"$1,575",,Apr-2020,"$1,799",,Apr-2020,"$2,074"
May-2020,"$1,506",,May-2020,"$1,793",,May-2020,"$2,029"
Jun-2020,"$1,525",,Jun-2020,"$1,780",,Jun-2020,"$2,085"
Jul-2020,"$1,542",,Jul-2020,"$1,783",,Jul-2020,"$2,136"
Aug-2020,"$1,500",,Aug-2020,"$1,784",,Aug-2020,"$2,121"
Sep-2020,"$1,496",,Sep-2020,"$1,791",,Sep-2020,"$2,112"
Oct-2020,"$1,483",,Oct-2020,"$1,781",,Oct-2020,"$2,165"
Nov-2020,"$1,412",,Nov-2020,"$1,760",,Nov-2020,"$2,100"
Dec-2020,"$1,421",,Dec-2020,"$1,766",,Dec-2020,"$2,096"
Jan-2021,"$1,406",,Jan-2021,"$1,715",,Jan-2021,"$2,089"
Feb-2021,"$1,432",,Feb-2021,"$1,716",,Feb-2021,"$2,075"
